screen_name,created_at,text
JOYDARKSOUL,2020-01-16T04:40:23Z,携帯電話の番号を互いに知ってるくらいに安倍総理と親しい某元作家が「習近平を国賓招待したら、私は安倍政権を支持しない」旨言ってるらしいが、じゃぁ阻止する為になんで直接電話しないんだろうかね？総理との関係が切れるのが怖くて電話もしないだろうし、安倍政権を支持しないも口だけだろうね。
akamatsutatsuo,2020-01-15T23:33:23Z,メディアは何が報道の価値があるのかが全くわかっていないのではないか。例えば明石市長の発言については取り立てて大袈裟に報道しているがそんな時間があるならもっと国政を揺るがしている法治国家を無視している安倍自公政権を正すべきではないのか。民主主義を蔑ろにしているのですよ。
akamatsutatsuo,2020-01-16T04:40:10Z,辛坊治郎のパワハラ疑惑に本人はやっていないと断言した。しかしそうだろうか。非常に疑問に感じる。なんでも言って委員会を以前見ていたがその態度姿勢は謙虚さがなく、傲慢さが見られ番組の方向性に偏向していることから客観的見識が損なわれてしまう恐れを抱き見ていない。安倍と渡恒の力の威がある
koutin_bot,2020-01-16T04:39:58Z,安倍の男どもに関わる女は、程度の差こそあれど、みな同じ想いをしている
kikuichigomon,2020-01-16T04:39:57Z,この「人事課長」さん達反安倍派だったのかな？ https://t.co/WEcehVbzeW
Dosankohybrid,2020-01-16T04:39:54Z,@stop_abe_seiji 計算すればすぐ分かるのに3倍で足りてしまうような錯覚に陥らせるとはアベめー
rabbi_watanabe,2020-01-16T04:39:51Z,ボクは＜25＋9＞#憲法25条 #憲法9条 plus 自民は骨のあるやつはもういないのか。みんなアベと同じ「以下同文」じゃないの。 https://t.co/CJngTNcCF2
PJDOuzHlrYkR8jB,2020-01-15T13:28:11Z,"@jcp_cc @tokoton_k マスメディアは安倍晋三よってローカルのみでそれを超える事は認めていません。
桜を見る会よりも恐い地獄の質疑が待っていますから。
桜を見る会が表になって、リニアよる南アルプスの生態系と環境破壊問題、サクラエビ産地偽装問題、山梨県早川町から駿河湾に掛けてヘドロを流している問題。"
PJDOuzHlrYkR8jB,2020-01-15T13:34:48Z,"@jcp_cc @tokoton_k 経団連加盟企業が関わっているヘドロ問題。
安倍晋三は経団連に向かって足を向けて寝れないから隠蔽をしています。
リニアがカジノと繋がっているのも隠蔽。
隠蔽の山です。
リニア問題は本県が一番迷惑を被っていますがその周辺樹民の苦情も大きいものです。"
PJDOuzHlrYkR8jB,2020-01-16T04:39:42Z,"@shin2_ota 野田政権から問題になっていたのは朝８時から夜７時までは安すぎて働けないと資格のある大学生達が民間企業に就職した。
経団連の要望で円安誘導した為に物価は高騰し、専業主婦までが働かず得なくなった。
安倍晋三は大企業に就職した保育士の資格がある社員を保育園と幼稚園に転職させるのを拒んだ。"
ingigo33,2020-01-16T04:39:22Z,「安倍様をお守りして、私の出世を守っているのです」by酒田。 / @iwj_ch4 キャス https://t.co/3xqdvVGUY7 | 44:11経過
kuntyan5,2020-01-15T11:53:40Z,桜を見る会巡り　憲法学者らが安倍総理を刑事告発 https://t.co/yrL8zgcXoK #スマートニュース
kuntyan5,2020-01-15T14:12:52Z,"#息を吐くように嘘をつく 方がこの国の総理大臣であることが最大の不幸だし騙されていることを気付きもしない気付こうともしない妄信的な信者がいることは最早喜劇だ❗
安倍首相、再発防止を指示　「桜」名簿の法令違反（時事通信） https://t.co/w771DxOp8j"
kuntyan5,2020-01-15T23:40:52Z,"このお方も口先だけですね❗傲慢そのものですね❗息を吐くように嘘をつく安倍似非保守日本会議傀儡政権そのものですね❗
二階氏、IR汚職で自戒　「反省の上に対応する」（共同通信） https://t.co/5wZ0elnWyu"
kuntyan5,2020-01-16T04:39:18Z,"安倍似非保守日本会議傀儡政権よりはましでせう❗
自民・石破茂元幹事長　次期総裁選に意欲「任に堪えないといえる立場ではない」（産経新聞） https://t.co/aoAlDxf8Pf"
EEukejNGVi9dSse,2020-01-16T04:39:17Z,"@Japangard 良い警察官＝安倍総理

悪い警察官＝トランプ大統領"
kodomoyomiti,2020-01-16T04:39:11Z,"今日は桜井市立安倍幼稚園参観日。参観日後のイベントに呼ばれて「絵本と音楽のコラボコンサート」を行いました。
最後はみんなでパプリカを踊りました。
園児が可愛くて、楽しかったです。 https://t.co/Ta2BEmX29W"
kuma_kuma_sea,2020-01-16T04:39:08Z,昔、乾選手がスペイン黒糖焼酎来日の晩餐会に呼ばれたとき、安倍が余計なことをとか、ジーンズ中なのにとか散々、安倍がって悪口見たけど、不倫が事実なら笑えるわ
ys48698064,2020-01-16T04:39:04Z,アホの子たちは中国人じゃなくて、既得権益を守るために日本を安くしている安倍ちゃんとその支持者に文句を言えよw https://t.co/GXOfZXRpkJ https://t.co/mqe0SWFLiA
sutehageyoutu,2020-01-16T04:38:50Z,"@stealockser バルサ側はもう安倍をとったからいいんじゃないかな？
西川くんは2年後にFC東京に0円移籍
これですべて解決だッピ"
2cErdpiBkABs4QQ,2020-01-16T03:12:27Z,"@t2PrW6hArJWQR5S 野党支持者も大絶賛ばっくれ中w
#原子力緊急事態宣言 に関し
①#逢坂誠二 支持者には逢坂の質問主意書
②安倍支持者には安倍の答弁書
③野党支持者には同宣言に言及なしの国会オリパラ成功決議と②
④#共産党 支持者には同宣言に言及なしの赤旗と②
拡散頼んでもしてくれないw
https://t.co/TbqNozO3hA https://t.co/XW3osoGfRB"
2cErdpiBkABs4QQ,2020-01-15T20:33:06Z,"#原子力緊急事態宣言 に関連して
①#逢坂誠二 支持者には逢坂の質問主意書
②安倍支持者には安倍の答弁書
③野党支持者には同宣言に言及なしの国会オリパラ成功決議と②
④#共産党 支持者には同宣言に言及なしの赤旗と②
を拡散するようお願いしてるんだが、嫌みたいだよw
https://t.co/TbqNozO3hA https://t.co/UODB31JM6t https://t.co/rJIgeI3vzY"
2cErdpiBkABs4QQ,2020-01-15T21:50:34Z,"@shibayama_t @lllpuplll #与野党マスコミみんなグル で #原子力緊急事態宣言下オリパラ を #復興五輪 と世界に大嘘ついてると知れば国民の怒り爆発！投票率アップと安倍政権への打撃が期待できます！
野党も信頼失うけど、隠れ安倍支持の嘘つき連中なんだからしょーがないだろw
ジャーナリストなら事実を発信してね！ https://t.co/lLN5rQwN3J"
2cErdpiBkABs4QQ,2020-01-16T03:44:07Z,"発がん性物質であれば日本でがん患者が増え、被ばくが原因なのか米国産輸入牛肉が原因なのか分からなくなる。
旧民主党政権から安倍政権が継承した最重要安保・外交・経済政策は20mSv/y 他の棄民・被ばく政策であり、これもその一環。 https://t.co/C5sEnWJWTX"
2cErdpiBkABs4QQ,2020-01-16T04:38:45Z,"@chounamoul それ、野党と野党支持者がやってることだからw
#原子力緊急事態宣言下オリパラ の事実を繰り返し発信し安倍のIOC虚偽プレゼンの責任追及すれば安倍政権に打撃を与えられるのにしないw
責任追及どころか、衆院HPや赤旗記事の拡散さえしない連中に支えられてんだよw
https://t.co/TbqNozO3hA https://t.co/vphEt7Y4mO"
2cErdpiBkABs4QQ,2020-01-15T20:00:27Z,"#原子力緊急事態宣言 は解除されていません。
衆院HPで #逢坂誠二 の質問主意書と安倍の答弁書が公開され、経産省等への電話でも確認できます。
https://t.co/C10LuFZom9
https://t.co/anvmfRn6qd
また #山本太郎 も言及してます。
https://t.co/TiqflQtY5n
#与野党マスコミみんなグル https://t.co/sRCMxxym79 https://t.co/hl28txXXUb"
turujii,2020-01-16T04:38:45Z,「安倍さんは頭が良くないからこちらにとって都合が良いので守れ」連合みたいのが内閣、与党、官僚、財界、テレビ、芸人、新聞、ネット右翼そして株をやってる一般人に至るまで無意識のうちに形成された日本という気持ち悪い国。
turujii,2020-01-15T23:56:16Z,@doctor0621 とにかくこいつら3人は現在進行形で自民党安倍政権に属する犯罪者だということ。
gene_ambitious,2020-01-15T14:56:53Z,オリパラ本当にやるのか。リオで安倍晋三がマリオの姿で「福島はアンダーコントロールだ」の嘘と「日本の8月は気候が温暖…」の嘘、そして何よりも復興五輪の嘘。嘘まみれの五輪はトライアスロン予行演習事の大腸菌海水に象徴されたように嘘うんこにまみれている。も一度確認する。やるの？ https://t.co/WQCzWgzENe
gene_ambitious,2020-01-16T04:38:42Z,本当にそう。安倍晋三は理解力が足りないし厚顔無恥なのだろうがもうそろそろ任命責任の意味を知るべきである。 https://t.co/zGFPldiY7o
mahirudake00,2020-01-16T04:38:31Z,1月11日Vol.642グレタ・トゥンベリちゃんも顔負け！安倍晋三ちゃん御用達グランドハイアット東京へ徒歩で集合したカルロス･ゴーンちゃんが有言... https://t.co/LHDHYPKJqz @YouTubeさんから
cheatwolf,2020-01-15T11:24:04Z,日本人を守るどころか性虐待しちゃったのか。国賊安倍晋三が自衛隊を米軍の下請けに差し出しちゃったからって、こんな恥ずべき性犯罪まで不良米兵の真似をしなくたってよかろうに。でも最近の自衛官募集ポスターを考えると、この手の予備軍が自衛隊に思ったより多く紛れ込んでいるのかもしれないなぁ。 https://t.co/1bovBblmIw
cheatwolf,2020-01-16T04:38:30Z,山口敗訴をワイドショーが取り上げていた時「安倍の周りはロクな奴がいない」と憤慨してたご近所さん、また安倍非難を始めたから「周りも山口みたいなロクでなしばかり」と相槌打ったら「誰？それ」と返ってきた。不祥事だらけでいちいち覚えてられないと。政権支持率50%の秘訣を垣間見た気がした。 https://t.co/nexsz7fSIN
nekocom,2020-01-16T04:38:23Z,"@takahikomiwa @TomoMachi @kuroyasu17 先日、シニアの配達員や80代のコンビニスタッフ(店長ではない)を見かけました。。工夫をされてるようですね。

アベ政権、終わってほしいです。
ご自愛ください。

(昨年は長野県にあるフルーツハリウッドのシャインマスカットにハマってしまいました…工夫して食べてます)"
xzjps,2020-01-16T04:38:21Z,"安倍晋三[殿様]を守るため
また「改竄」に手を染めた官僚たち

内閣府の酒田元洋・総務課長
「改竄と言う言葉の定義に、ピッタリ当てはまるか、そこ、私には分りません」

またか
またか
またです！　(汗) https://t.co/atmvB0iGuY"
SwR2IUJa6f7n7lE,2020-01-16T04:38:02Z,"イージスアシュアに反対すると、ネトウヨから凄い反発有る
安倍自民応援隊は何も分からす
横田基地横田空域の問題もあるし https://t.co/gR4BSuey6b"
yukino__tweet,2020-01-16T04:37:44Z,安倍首相を告発「桜を見る会」疑惑 捜査開始で官邸窮地か https://t.co/0cTLkFtU20 #日刊ゲンダイDIGITAL
VZNW2jIYkcQ2UP7,2020-01-16T04:37:39Z,"@DyiNFPkdVzqNiaC @taku00243 @tekina_osamu もう無理ですね。
安倍晋三は(麻生太郎も)死ぬまであのままですよ。"
VZNW2jIYkcQ2UP7,2020-01-16T03:51:03Z,@DyiNFPkdVzqNiaC @taku00243 @tekina_osamu 安倍晋三は箸の持ち方も持つ位置もおかしいし食べ方も汚いし感想はジューシー一語、どこか良いところはあるのでしょうか？困った男です。
shirahochan,2020-01-16T04:37:34Z,"宿泊施設破壊でパスポート紛失した１０万人の日本人観戦者ならび関係者はタイを出国出来ない事態に！レースの視察にタイに来ていた安倍総理大臣一行も右に同じく出国出来ない状況！Σ(゜д゜；)))

#本日の夢
#supergt"
kajik65630518,2020-01-16T04:37:28Z,@KadotaRyusho シナ・朝鮮ポチのNHKも　たまには　まともなデータを公表するもんだ・・・多分　次回データ公表値は安倍政権強烈下げの捏造値データが目に浮かぶ。97%の事実報道する事で3%の捏造報道の嘘が　真実として受け捉える盲点ついた　姑息な手段を使いそうな予感がする。
ROCKY20565474,2020-01-16T04:37:14Z,@nhk_news 安倍総理が説明責任を果たしていないことから、疑惑で大臣を辞任した方々も責任責任を果たさなくてよいということになったのでしょう。
shirohebi_twist,2020-01-16T04:37:13Z,安倍首相は中国受け入れのために表立った事はできないけど、台湾にはこうして佐藤議員がメッセージを届けてるのね。 https://t.co/ZMcZxEq1Js
rnaymuno,2020-01-16T04:37:11Z,通常国会“冒頭解散説”再浮上の記事だが野党の 質問が怖くて解散せざるを得ないというのがサイコ安倍の考えか？　https://t.co/QjvKuEXc8b #日刊ゲンダイDIGITAL
chikuwa_01410,2020-01-16T04:37:07Z,"荒野界隈で個人でプレゼント企画とか個人スポンサーとかしてる人たちって安倍晋三より酷い考え方してるよな…
これも安倍晋三の仕業なのかな。"
