"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10587.5934085171","11076.679699342","11272.8253203624","11887.9024355661","12629.8189470391","12012.9069536524","12693.7232124048","13247.5745358715","13653.9821099635","14029.0870862791","14987.4110274292","14317.2385158507","14480.0799360888","15479.2218075135","16633.544406723","18065.8050265153","20747.3755869909","22996.7058021285","23162.685755127","20271.086351499","18824.073146248","18605.3167543472","19398.0594771818","19480.1025975588","20618.9957518542","21503.9525507046","22705.4822032528","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17373.7682260749","17830.0370540808","18232.5579217504","19183.8991168306","20113.5624885687","21005.2023954581","22075.3678341251","23020.7433860052","24246.1466850029","25299.3597669056","26406.1309508989","27431.0753993618","28717.2892026301","29723.6838499189","31345.2208712979","32591.8093540183","34356.7664052559","36596.0084093864","37506.9068217268","40282.3137195242","39191.0356251816","41782.2849420662","42616.1489215663","45668.6891142673","46446.0272419404","46475.9277518569","46789.9272377545","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19441.0672323817","20573.0820668501","21247.4512065618","21687.997042266","22594.4733773446","23644.8989851456","24530.4671294396","25406.3433236309","26647.4647560566","27606.4830303088","29357.4857251925","29783.4207395811","31178.6933297272","32106.7548604345","33766.9037917499","35013.7140443423","37644.7640059315","39377.043844955","41316.225176699","40968.3391940296","42087.247388195","44452.7327457999","46457.3457770311","47924.5810382519","49005.1645963298","50087.7317434842","50644.4330765475","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502.43398864152","5558.81841314857","4334.43366410288","3361.03549662053","2719.34022718708","2420.44486439699","2471.58587927039","2634.15863088586","2901.35167222536","3136.09389310516","3534.32914766215","3942.08488219485","4393.96719931842","4945.90791637216","5551.44884183019","7169.15043103855","9830.16260573868","12477.3846859443","13799.7861400733","14900.5086642522","15627.6056198817","15754.1523626148","16180.8871503048","17171.7613655507","17607.6228933646","17816.5471215147","17282.2252371156","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","702.879896737916","745.141885851432","753.630760095803","709.595742548928","685.046504076847","634.177689906036","586.320225009861","580.057212740667","606.831741928996","600.902030251972","597.718189253131","609.144754217792","628.199259149723","613.630038895316","639.874227218527","644.786602674403","677.382665500247","704.439858877756","729.462783308925","735.701234336554","748.380657602419","771.509423734821","793.080192119077","818.28521331237","846.058938786803","798.507983781938","779.262734823929","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18757.7874821329","19664.2244843568","20337.6584623719","20540.8628201245","21588.3207865785","22516.9408115149","22892.261513385","23910.8274528408","24539.0062377711","25642.2616549851","27966.9388039373","29024.9516446598","30482.7846512136","31054.5886252766","32260.7512984724","33332.3313498604","35406.6336341747","36858.139853279","38133.5014644659","38047.6881795246","40129.3713780553","41248.725342013","42354.6314854002","43519.7779201761","44737.9071964675","45629.3520694356","46541.3715102946","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945.37674549935","984.31366501525","1001.08761089962","1047.40474082973","1054.55141005154","1104.63702603924","1137.1082750262","1186.41688112379","1210.44911903842","1256.96239341407","1320.88957456507","1380.62022882486","1422.9540625471","1456.36454516645","1516.43028712892","1545.69826491077","1608.7728866525","1701.20707313632","1768.8035979427","1773.05329769007","1781.98706633659","1820.89469315629","1890.02901987697","2002.05140862019","2107.9811663876","2120.17163791809","2171.8509563821","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545.726240774682","598.789994606344","597.554226558453","616.027013462832","620.26077867101","651.262450445419","716.11981867236","753.127341340672","794.354172082911","842.120332026115","852.388972667646","903.274517043443","929.931041208174","993.26806080577","1035.52289952551","1127.55874317235","1198.50951694666","1261.416063903","1338.8602973718","1347.57924167077","1394.58472667042","1472.71648241138","1549.4802661889","1616.77927059162","1666.82375932191","1703.1799355718","1774.45343105275","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","832.434081719866","869.33532826983","916.518574666377","961.161710589347","997.971592598519","1048.18420594648","1092.01768715192","1136.35459186552","1183.37670098855","1232.43447266784","1301.46328479352","1372.36251386772","1420.4312516704","1491.023591885","1586.18216794146","1718.40287298916","1864.19450265239","2024.23209501687","2163.55442727762","2264.87149858925","2393.31583163503","2570.85014525476","2756.44346659312","2934.64435240001","3131.78966472326","3342.23563646935","3586.70631844096","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5187.75319639011","4956.56988355838","4751.63208281089","4831.06046795682","5040.65854231144","5316.59712019477","5624.81783803286","5684.67175264935","6007.1681128465","5751.47083212423","6370.55793273078","6954.20980900296","7766.26073753413","8379.28178646099","9177.31468720736","10275.0499268315","11377.855640539","12897.9538641487","14328.9591101199","14160.5644695909","14962.9848631188","15676.0532222803","16208.2370411198","16646.7165018317","17406.0684737004","18248.8318642722","19508.9704242386","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22694.907256237","25375.9182795642","26985.4940541941","30419.8805764619","30235.4120856992","31276.0265346714","32298.2224739653","32941.355869149","33826.5315820989","34535.5171817884","35622.601699238","35578.8842945325","35516.2932317334","36258.0924833938","37399.8448142104","38466.5622058612","39163.1204531047","40282.9665240104","40557.0243120659","39412.1674086511","39749.8493845143","40164.5827403304","41714.8436088807","44168.3779484071","46178.0765808582","46866.5479760067","","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15693.8358583275","15253.6396498941","14721.5988636307","14837.7632034613","15362.7265529383","16121.2388582421","16889.4112974541","17338.4500047521","18157.7382495075","19516.3729146263","20487.3431803414","21132.3288410747","21607.8066527661","21305.8580707543","21620.7272838943","22602.9564956975","23415.7117243909","23923.7087148222","23392.2861587165","22191.1746033125","22431.9299506066","22674.7278158328","23453.6354886308","23370.5372556653","23190.2527981104","22492.1072626817","22560.5292916412","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","948.696897081294","1201.91923707043","2351.32245335926","3237.95163118834","3785.65711946086","4202.9000922476","4525.82188364019","4742.09784737393","5114.29675178388","5348.65900789034","5842.69348840807","6453.16124679048","7384.14368427716","8159.89470055225","9006.4648748952","9014.06204135865","9323.85656479196","9901.54444068956","10181.9303599784","10835.638289012","11233.7765540978","11713.0090930295","12330.3840943225","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5399.40557534689","5509.47235273728","5083.12739874364","4797.75757152504","4331.65323287033","3974.93590662647","4174.7545380634","4750.37800044582","5230.10823453406","5513.83355763893","5994.55725732174","6453.90530834298","6927.55456783626","7616.45895157519","8781.63643780397","9984.19255747154","11389.55165644","12756.6346295883","14383.16738581","14553.7953661949","15906.7561959696","17166.6956434719","17801.9186985095","18271.7542904885","18902.3562962712","18382.7587497407","18090.7378683496","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3338.21210391779","3740.12993679552","4215.42271772396","4510.02885515837","4520.45637800984","4525.76574134556","4527.37816503405","4597.49176141575","4639.55977492667","4936.75637471884","5516.14241381737","5746.62858787242","5964.57000423884","6479.77779145453","6791.95731196538","7008.80574641699","7361.07413753312","7444.30252641197","7636.84135733543","7558.04785083857","7715.95031849724","7855.69828660257","8121.15294169971","8179.04988331871","8432.94461765846","8600.89054004966","8477.9623753964","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26210.9109007466","26261.1259418547","27038.8767248633","28362.5661275732","28938.4392651508","30621.6915800819","31787.7790998267","33613.3724699575","35044.9513449448","36579.5634273514","40535.2082576999","43976.0925063775","43706.034736478","45797.3203552513","47835.4392260251","49877.2841082861","53949.4237061828","56640.9889952538","58288.6120944144","55320.1617108278","55254.2141192067","54984.5103947777","53097.6962878821","52436.056406239","","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2396.11496689992","2555.46885243457","2604.90637933615","2726.41016519079","2857.41341752817","2993.81094933821","3119.28235336203","3264.94703670241","3399.2543857961","3399.73492700833","3497.27947511032","3570.0567605005","3647.57124523892","3753.0508490101","3946.70857633322","4180.31823540514","4438.62465045884","4684.94245010811","4986.88053332403","5108.87359361606","5298.08451219437","5598.50844451487","5899.64186063859","6303.06642034157","6662.54682532115","6968.68514822145","7248.23928006967","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6686.08048384202","6891.97512943256","6898.70405298695","7271.50475187872","7696.41028562723","8072.95461174487","8268.48537027835","8558.93042375708","8547.15458315978","8588.01964024939","9012.76401799382","9216.76517492799","9515.49239448841","9690.57940994869","10401.9413844611","10951.2747805631","11604.8635489813","12503.6092795189","13262.8005447414","13215.4256842597","14244.9787898614","14973.0984736747","15396.6223446724","15968.2920788878","16191.743882812","15647.6398154455","15153.2105579004","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9218.22417447948","9122.01027331853","8767.63893557751","9016.93013500122","9360.05389527415","9713.87006462221","10245.5033034408","10873.8089285843","11360.1928504996","11529.8014849873","12275.0544973305","12219.6287842379","12468.8428643262","12956.3815766355","13458.7451634791","14394.218759436","15618.7541463203","16251.6671163771","16565.9574146395","15951.042765202","16124.9948326257","16472.0832008577","16763.8855016143","16980.4440097176","17234.1404332646","17561.8603441743","18099.6739766879","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54726.5642826069","56686.6568810333","59033.1709230392","58946.1281739914","60426.8458368863","62787.2531248313","64153.1820484727","62779.1078038378","61685.8075984263","63143.4760880756","65034.8346589503","66960.5208174901","69246.7481773335","71337.235205243","72411.5752831565","73873.2902403918","78398.1896570985","79616.870305081","78682.9808251747","76964.3177723928","78923.3904740313","82434.8830910215","83504.3025184817","81827.2734606771","80152.1391841569","79593.2807209177","77570.9119474662","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1502.88065800944","1546.55879821722","1672.51816898437","1774.39301361051","1926.23762468771","2112.16835899211","2251.1591428914","2369.51071187459","2474.17370780244","2637.73005973375","2804.93275688453","3019.00092965503","3300.16293059307","3524.92675279858","3734.48887014555","4026.34187596839","4331.46190597585","5131.41037736024","5372.13242864557","5664.1278051614","6289.81436412947","6805.87845575689","7162.29347421935","7317.33741383861","7759.7606503751","8261.61283441216","8918.04396842567","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5242.04564928739","5661.04598838628","5798.94175029585","5893.3620794374","6082.78163724582","6491.72810262165","6843.108551891","7364.7414335334","7354.74812157279","8043.51279918659","8251.81945049328","8332.79662706803","8848.10437799182","9314.39571832187","9695.19342940274","10313.6111912576","11346.0494933988","12413.2856813241","13226.6064899232","12098.7929929481","13064.4662387584","13889.2704704923","14506.885230642","16111.1091493253","16764.4476772701","16384.2915564189","16989.6435479899","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","602.549493843312","603.793268019751","562.730514840217","562.530413059777","586.708614031531","625.773350163315","596.921881226275","624.504665956661","646.240809442282","665.121822502435","649.459045704183","679.934944236921","701.535794400747","664.315058517633","710.41096696699","726.866366553463","771.146741446285","813.805389395986","833.252964076624","842.522224144834","870.044080916885","911.655946889643","963.564013916564","618.5146822517","633.918764759889","668.337622217426","700.063083307571","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20107.8306877283","20060.6728229815","20446.6282009294","21255.0535745257","22465.8030545629","23354.2721887713","23904.848934067","25087.9972576757","26117.6117299565","27656.6769217414","29185.3550587258","30073.912805211","30851.3114815056","32189.0615956597","33754.8695616172","36134.6022423077","38009.875996482","39441.9677890234","40277.6193121099","38791.0746857483","40027.2402088674","41565.2712210369","42145.0978611317","44097.6064232561","45082.0096318293","44204.9465819306","44025.1834261624","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6881.83747024274","6453.72320162311","6501.31884219611","6759.99529504477","7193.48129723233","7777.05827239013","8291.09755979681","8680.39779597833","9068.09553478097","9379.00406381396","10004.1691267412","10808.7310181633","11601.1120690798","12341.3573583535","13471.4611915235","14294.2334877665","15895.6732504152","17645.2234007589","19529.4794298879","19538.0519002829","20772.0315313125","22167.6697787028","22954.9587526067","23976.9752859342","25060.3275522801","26214.8702931757","27298.1396665493","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27592.8634655388","27899.2910311496","28210.0561154182","28583.3628694336","29327.586823604","29882.8772481639","30543.6341784251","31790.3265656785","32885.1243098067","33814.0792910998","35727.0683519133","36862.4434856056","37718.3041278531","37711.1283041664","39197.6810666411","40572.2631753381","45132.358800945","49726.8033755723","52584.7349460344","51821.9733499093","53170.2789192697","56183.8325850081","57849.5839884654","60108.5163468318","61792.2943114946","63291.538275518","63741.4525065597","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4589.10839980802","5037.37214083093","5723.36936382925","6235.1547104268","6698.1365571664","7500.06764523077","8174.9737584327","8761.5044665976","9094.34546516106","9052.15481679857","9608.17713576582","10001.1780385066","10297.9780869255","10771.2474805153","11777.1330504661","12774.7312248309","15611.1082142356","16862.9240664157","16422.8663339121","16267.4619292718","18356.7762179634","20437.704525923","21620.2809667472","22578.7289196484","23082.3345392797","23579.4622742877","23960.2701493033","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","986.568376177788","1099.05222797972","1268.27161988176","1461.61034638759","1668.58064180613","1869.46632027211","2070.77160880877","2277.20685142254","2458.63066104439","2664.48503120314","2933.31481687007","3226.84845645728","3551.66365190754","3961.27389293916","4455.20502164089","5092.55983719014","5883.71937721515","6863.98175467412","7635.07261093725","8374.43227112406","9333.12423690653","10384.3665989406","11351.0620576921","12367.9650091944","13439.9067128941","14478.1475458518","15559.2313474535","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2064.23166352787","2059.56522095372","2029.04305290696","2003.35458369663","1995.08861010995","2113.22615745278","2247.87378229769","2302.72014216838","2375.0465599391","2387.90845185766","2336.35692095684","2342.85499642351","2295.19139940123","2268.27229211947","2317.61436177941","2388.43219498255","2450.59677799087","2508.37389933617","2567.19074324489","2612.06386869209","2635.83777138699","2511.42019511915","2762.34142570319","2980.26505984901","3217.63437899011","3458.57868780136","3700.60712803371","",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1952.24372225482","1884.80870373996","1815.59526647033","1664.4134323673","1689.48875318106","1737.99287276804","1799.90292328657","1878.4776881096","1935.42272118738","1998.69349162714","2063.82352270855","2147.15482757839","2214.14894780669","2300.10437609214","2457.35151576487","2519.09001086173","2614.41042613163","2739.67288522194","2812.64505460119","2817.98765363956","2870.56268713564","2969.0475747898","3076.85813905275","3208.26832603863","3367.03398701029","3509.20725380194","3616.38262423079","",
"Congo, Dem. Rep.","COD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","827.600330402252","754.782482590742","664.448873357432","566.087071157879","535.720278509118","533.218253337197","522.636140865822","489.592699106425","475.897495067878","451.884303986381","419.463913592424","408.574400444067","414.722773266483","433.079475306457","460.247641423181","488.388086946654","513.37969086873","542.061728658384","568.083477865221","569.535006308888","597.076987349427","629.856388836565","664.801780089217","708.959621464787","764.481099113777","800.729411086787","803.810288066336","",
"Congo, Rep.","COG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3322.42079928925","3420.88312333044","3493.75713578085","3446.26133822864","3235.86909746333","3340.81751912021","3449.22493429948","3388.3693552381","3452.939884821","3319.54770079494","3551.09264907498","3667.70832941913","3790.19484193496","3791.12980302901","3915.74080755105","4223.07435545744","4474.88010752481","4369.05228717674","4543.92488890468","4760.4444983099","5081.43214469695","5213.94692099844","5368.26568966105","5502.48287322744","5833.76202027977","5913.8882772912","5728.38957869696","",
"Colombia","COL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4869.16184672328","5050.71983033459","5327.88550322505","5485.49956628294","5827.99696183084","6155.68886127621","6294.86549854465","6520.03666603708","6528.90017378781","6256.81018104118","6585.33413813744","6750.68713876565","6927.32125259077","7241.33125833067","7732.31947622413","8248.35534178596","8957.34111756549","9710.91759594356","10132.2656612857","10260.2266790265","10680.0030066548","11496.4777054381","12058.3437579632","12725.0437311283","13394.9473586872","13854.5170085352","14181.4055197033","",
"Comoros","COM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1034.10155080008","981.587492990289","1058.21410686735","1084.09918949408","1019.24904669749","1048.32497429261","1025.13900397469","1055.91086802402","1052.88627667455","1061.83032068337","1173.81752641852","1198.67108591666","1215.64491347725","1236.16601038234","1264.15613509177","1310.26538212601","1353.51944109414","1367.48883961449","1366.64754971748","1370.46688388663","1383.9296940583","1414.61172325694","1448.4276861253","1487.11050669385","1508.55635310178","1507.63774815845","1524.81166124251","",
"Cabo Verde","CPV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1070.91406516043","1096.28098925145","1212.19496376985","1312.82756016449","1555.2170020896","1766.82171286977","1954.75257510339","2158.37694751752","2401.0899919634","2654.42037886116","3039.91935103396","3116.71101640519","3268.9136058476","3412.64207822292","3801.92990757416","4134.49758438051","4542.1405529358","5308.13417383915","5710.16341956672","5620.53931728869","5710.34425217671","5991.77849034175","6097.22155582546","6171.85798635019","6244.74028757326","6314.7296843524","6564.03728955542","",
"Costa Rica","CRI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5033.09994187275","5200.58231878786","5662.42351116882","6052.79671201924","6299.32169595099","6533.19142922661","6574.13364760459","6893.93397015235","7286.41497983041","7527.11162305639","7829.81296167726","8139.81010264789","8397.30253575193","8793.38314665954","9289.50331735902","9817.00119402593","10697.4635440799","11714.2147112291","12329.930057934","12141.9349812074","12737.0201761635","13397.2305422386","14133.6881806511","14524.6715007822","15160.5176634231","15912.4400792047","16641.9845150614","",
"Caribbean small states","CSS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5874.19550801748","6156.93622516255","6259.4411056039","6539.54552741572","6797.43051939719","7090.4106025593","7402.67553590043","7713.35977357047","7958.95490372932","8349.53791564529","8790.00203320126","9128.05723373364","9582.02779138978","10376.7581060581","11078.9292022292","11787.2809101799","12958.321371726","13673.6254868653","14093.7043107661","13622.3300506302","13919.3051702994","14274.8721445493","14625.2340311174","15030.9590148443","15264.9050389883","15372.6579140809","15400.474535544","",
"Cuba","CUB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49903.0285395752","","","","","","",
